EmployeeNumber,Surname,GivenName,Gender,City,JobTitle,DepartmentName,StoreLocation,Division,Age,LengthService,AbsentHours,BusinessUnit,MonthlySalary,AnnualSalary,AnnualLeave,SickLeave,OnLeave
1951,Page,Travis,M,Kelowna,Meat Cutter,Meats,Kelowna,Stores,33.6822941,5.721401012,32.75877739,Stores,900,10800,2,0,1
1952,Crews,Tara,F,Duncan,Dairy Person,Dairy,Quesnel,Stores,57.60243053,6.571685757000001,140.3673166,Stores,1000,12000,4,2,0
1953,Hubbard,Gladys,F,Surrey,Meat Cutter,Meats,Surrey,Stores,34.66884287,3.99102056,45.13057765,Stores,900,10800,5,1,1
1954,Johnson,Regina,F,Prince George,Meat Cutter,Meats,Prince George,Stores,35.73997989,4.1491516619999995,50.03488608,Stores,900,10800,14,0,0
1955,Sakai,John,M,Victoria,Meat Cutter,Meats,Victoria,Stores,51.82087717,4.815895463,70.42260414,Stores,900,10800,8,2,1
1956,Mitchell,Elijah,M,Victoria,Meat Cutter,Meats,Victoria,Stores,43.86378981,2.180327741,107.015005,Stores,900,10800,11,2,1
1957,Aleman,Aisha,F,Fraser Lake,Dairy Person,Dairy,Prince George,Stores,51.04828293,4.711477718,104.5649718,Stores,1000,12000,2,1,0
1958,Richardson,Janie,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,52.98074316,2.968868547,125.44134270000002,Stores,1200,14400,9,1,0
1959,Lange,Lynn,F,Powell River,Meat Cutter,Meats,Nanaimo,Stores,28.93469255,5.43814168,13.23139359,Stores,900,10800,4,1,1
1960,Pickle,Angela,F,Penticton,Meat Cutter,Meats,Kelowna,Stores,52.52225565,4.8947184969999995,106.09570559999999,Stores,900,10800,4,0,0
1961,Goodlett,Clifford,M,Vancouver,Meat Cutter,Meats,Vancouver,Stores,56.17904999,4.632056692,119.55588859999999,Stores,900,10800,14,2,1
1962,Broaddus,John,M,Kaslo,Meat Cutter,Meats,Cranbrook,Stores,30.90313635,1.5506565540000001,14.76986568,Stores,900,10800,6,2,0
1963,Finnell,Thomas,M,Agassiz,Bakery Manager,Bakery,Chilliwack,Stores,29.71088952,3.02428425,0.0,Stores,11000,132000,3,2,0
1964,Davis,Bill,M,New Westminster,Meat Cutter,Meats,New Westminster,Stores,51.81964556,1.7545259290000002,70.69265405,Stores,900,10800,0,2,1
1965,Owens,Logan,M,North Vancouver,Produce Manager,Produce,North Vancouver,Stores,48.30813221,7.730922656000001,38.69678002,Stores,11000,132000,12,0,0
1966,Turley,Warren,M,Vernon,Meat Cutter,Meats,Vernon,Stores,43.60605929,3.10364486,20.09328976,Stores,900,10800,7,1,0
1967,Heath,Patricia,F,Cobble Hill,Dairy Person,Dairy,Victoria,Stores,31.50688394,3.598682662,0.0,Stores,1000,12000,2,2,0
1968,Hunt,Scott,M,Prince George,Dairy Person,Dairy,Prince George,Stores,58.99575461,4.31135363,158.0484196,Stores,1000,12000,4,2,0
1969,Rust,Jamie,F,Blue River,Cashier,Customer Service,Blue River,Stores,51.00126065,4.227171389,121.1380638,Stores,1200,14400,3,2,0
1970,Copeland,Diana,F,Surrey,Meat Cutter,Meats,Surrey,Stores,41.24253724,2.121118696,46.21262720000001,Stores,900,10800,5,1,0
1971,Carpenter,Dorothy,F,Port Alberni,Meat Cutter,Meats,Nanaimo,Stores,27.95507153,4.167889119,0.0,Stores,900,10800,4,1,0
1972,Griffith,Lois,F,Vancouver,Meat Cutter,Meats,Vancouver,Stores,38.08765249,4.348830651,29.06194428,Stores,900,10800,5,2,1
1973,Maupin,Charles,M,Vancouver,Meat Cutter,Meats,Vancouver,Stores,43.77921633,3.0580548910000003,95.70069069,Stores,900,10800,6,2,1
1974,Martinez,Angel,F,Fort Fraser,Dairy Person,Dairy,Prince George,Stores,38.92647582,4.813057426,71.63044298,Stores,1000,12000,13,3,0
1975,Cook,Judith,F,Fort Langley,Bakery Manager,Bakery,Langley,Stores,35.68950786,2.9000217189999997,33.71280898,Stores,11000,132000,11,3,0
1976,Brown,Danae,F,Campbell River,Dairy Person,Dairy,Nanaimo,Stores,59.78169582,6.589484481,155.7149311,Stores,1000,12000,4,3,0
1977,Price,Pete,M,Penticton,Meat Cutter,Meats,Kelowna,Stores,30.17153959,1.791582112,0.0,Stores,900,10800,11,2,1
1978,Aldridge,Arlene,F,Abbotsford,Processed Foods Manager,Processed Foods,Abbotsford,Stores,30.501291700000003,3.563761327,27.08492361,Stores,11000,132000,8,2,0
1979,Buck,Eldridge,M,Whistler,Meat Cutter,Meats,Squamish,Stores,20.46301165,6.203381237,0.0,Stores,900,10800,1,1,1
1980,Tyson,Breann,F,Vancouver,Meat Cutter,Meats,Vancouver,Stores,40.05004108,4.165502049,44.67656919,Stores,900,10800,14,2,1
1981,Colon,Anthony,M,Surrey,Meat Cutter,Meats,Surrey,Stores,51.15676885,5.641297334,107.23221140000001,Stores,900,10800,13,3,0
1982,Wade,Sarah,F,Victoria,Dairy Person,Dairy,Victoria,Stores,62.16409429,6.679193936,198.5417458,Stores,1000,12000,10,1,0
1983,Carver,Larry,M,Osoyoos,Meat Cutter,Meats,Kelowna,Stores,46.17784643,4.15296855,91.11349318,Stores,900,10800,0,0,0
1984,Magee,Nancy,F,Genelle,Dairy Person,Dairy,Trail,Stores,52.07842293,4.321579507,105.83409909999999,Stores,1000,12000,2,3,0
1985,Lopez,Anna,F,Victoria,Meat Cutter,Meats,Victoria,Stores,53.32798021,5.2331716230000005,151.8052833,Stores,900,10800,9,1,1
1986,William,Angel,F,Kelowna,Meat Cutter,Meats,Kelowna,Stores,41.96797995,6.723624235,18.69536078,Stores,900,10800,14,2,1
1987,Jones,Raymond,M,Yarrow,Dairy Person,Dairy,Chilliwack,Stores,42.78829895,3.683158521,49.25104486,Stores,1000,12000,14,0,0
1988,Gonsalves,Heather,F,Vancouver,Meat Cutter,Meats,Vancouver,Stores,37.42044683,4.326117737,37.86548255,Stores,900,10800,9,0,0
1989,Hamlin,Raymond,M,Lakeview Heights,Meat Cutter,Meats,Kelowna,Stores,53.78460582,5.792404641,124.78477679999999,Stores,900,10800,3,1,1
1990,Madigan,Donald,M,Penticton,Meat Cutter,Meats,Kelowna,Stores,31.17432175,5.811643209,74.174938,Stores,900,10800,9,1,1
1991,Cerna,Leonard,M,Vernon,Meat Cutter,Meats,Vernon,Stores,26.73522731,3.81345639,0.0,Stores,900,10800,3,3,1
1992,Lockett,Tim,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,42.054885,5.564936772,21.35773016,Stores,2000,24000,5,0,0
1993,Staton,Simon,M,Langley,Dairy Person,Dairy,Langley,Stores,51.34818091,5.64830574,125.6311357,Stores,1000,12000,9,3,0
1994,Hollis,David,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,43.81658202,4.172781184,65.64606004,Stores,2000,24000,5,1,0
1995,Perkins,Anthony,M,Burnaby,Meat Cutter,Meats,Burnaby,Stores,40.68138801,4.473870583,13.59653458,Stores,900,10800,8,0,0
1996,Shelton,Ronald,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,34.71989673,4.280778747,28.87413059,Stores,2000,24000,7,1,0
1997,Yates,Bryant,M,Richmond,Dairy Person,Dairy,Richmond,Stores,47.59857937,3.993728928,62.66050569,Stores,1000,12000,7,0,0
1998,Taylor,Stefanie,F,Burnaby,Meat Cutter,Meats,Burnaby,Stores,35.24774781,2.9729028769999997,22.03862254,Stores,900,10800,2,0,1
1999,Anderson,Daniel,M,Topley,Dairy Person,Dairy,Prince George,Stores,37.78277582,7.319838646,27.509516899999998,Stores,1000,12000,8,2,0
2000,Piercy,Benjamin,M,Chilliwack,Dairy Person,Dairy,Chilliwack,Stores,30.52772989,7.760828101,0.0,Stores,1000,12000,7,3,0
2001,Lovelace,Robert,M,Coquitlam,Dairy Person,Dairy,Nanaimo,Stores,35.67119359,4.7179013560000005,31.30850408,Stores,1000,12000,11,3,0
2002,Kimball,Shena,F,Fort Nelson,Meats Manager,Meats,Fort Nelson,Stores,56.83150629,4.189240012,130.3325542,Stores,11000,132000,5,3,0
2003,Chitwood,Jose,M,Langley,Processed Foods Manager,Processed Foods,Langley,Stores,47.349964,5.381569121,118.82712079999999,Stores,11000,132000,14,3,0
2004,Walker,Katherine,F,Duncan,Customer Service Manager,Customer Service,Quesnel,Stores,42.87421721,5.509637064,63.32654291,Stores,11000,132000,13,3,0
2005,Frank,Susan,F,Nanaimo,Meat Cutter,Meats,Nanaimo,Stores,48.9177821,6.044211483,107.37302509999999,Stores,900,10800,0,0,1
2006,Howard,Virginia,F,Victoria,Dairy Person,Dairy,Victoria,Stores,39.78946548,4.566098294,67.48946917,Stores,1000,12000,14,3,0
2007,Herrera,James,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,49.15468704,7.441237227999999,94.10308221,Stores,1200,14400,13,2,0
2008,Jones,Kira,F,Burnaby,Meat Cutter,Meats,Burnaby,Stores,44.84937295,5.604858451,81.16431896,Stores,900,10800,13,3,1
2009,Combs,Henry,M,Nanaimo,Meat Cutter,Meats,Nanaimo,Stores,39.14205498,5.736895867,22.20121289,Stores,900,10800,2,2,0
2010,Brown,Joseph,M,Campbell River,Meat Cutter,Meats,Nanaimo,Stores,43.74769659,4.38070331,100.0174533,Stores,900,10800,6,1,0
2011,Graham,Phyllis,F,Victoria,Meat Cutter,Meats,Victoria,Stores,41.81877546,2.652859613,52.50535828,Stores,900,10800,5,2,1
2012,Ervin,Donald,F,Vancouver,Cashier,Customer Service,Vancouver,Stores,43.84221369,4.621058914,45.085415600000005,Stores,1200,14400,10,0,0
2013,Bennett,Virgil,M,Vancouver,Cashier,Customer Service,Vancouver,Stores,48.75894003,2.6996565639999996,36.87562294,Stores,1200,14400,13,1,0
2014,Nichols,Paul,M,Kamloops,Meat Cutter,Meats,Kamloops,Stores,40.10889264,4.308580485,24.61765833,Stores,900,10800,5,2,1
2015,Johnson,Joyce,F,Vernon,Meat Cutter,Meats,Vernon,Stores,34.41387766,2.8575548289999997,62.91157256,Stores,900,10800,10,2,0
2016,Martin,William,M,Abbotsford,Customer Service Manager,Customer Service,Abbotsford,Stores,32.1339995,2.4315631730000002,0.0,Stores,11000,132000,2,1,0
2017,Ness,Lionel,M,Westbank,Meat Cutter,Meats,Kelowna,Stores,35.11708439,4.873160341,23.31617806,Stores,900,10800,1,1,1
2018,Matson,Marie,F,Comox,Meat Cutter,Meats,Nanaimo,Stores,57.07739651,3.85196262,164.5344347,Stores,900,10800,9,3,1
2019,Carrier,Frank,M,Port Coquitlam,Meat Cutter,Meats,Port Coquitlam,Stores,42.22103116,1.0,31.34629978,Stores,900,10800,11,1,1
2020,Tardif,Edward,M,Vernon,Meat Cutter,Meats,Vernon,Stores,34.31260948,3.214865868,2.273817097,Stores,900,10800,11,3,0
2021,Ricks,Yolanda,F,Kamloops,Meat Cutter,Meats,Kamloops,Stores,39.07944208,6.0895198829999995,73.56598342,Stores,900,10800,10,0,1
2022,Vickery,Michelle,F,Burnaby,Meat Cutter,Meats,Burnaby,Stores,42.11479839,5.48556792,61.20720429,Stores,900,10800,6,1,0
2023,Johnson,Jennifer,F,Kamloops,Meat Cutter,Meats,Kamloops,Stores,38.32160409,4.619259745,40.11858888,Stores,900,10800,13,1,0
2024,Young,Pablo,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,35.93807517,4.536069084,49.21335702,Stores,2000,24000,14,1,0
2025,Gragg,Jose,M,New Westminster,Meat Cutter,Meats,New Westminster,Stores,58.45323647,4.704838027,100.8501363,Stores,900,10800,10,1,0
2026,Walker,Gary,M,Hansard,Dairy Person,Dairy,Prince George,Stores,61.25654564,5.410720172,157.1753636,Stores,1000,12000,14,3,0
2027,Brown,Walter,M,Campbell River,Meat Cutter,Meats,Nanaimo,Stores,47.95776637,5.27979501,95.35845861,Stores,900,10800,6,2,0
2028,Barile,Mira,F,Nanaimo,Meat Cutter,Meats,Nanaimo,Stores,42.2425851,3.0735782360000004,51.43795341,Stores,900,10800,1,3,0
2029,Gilbert,Heather,F,Langley,Dairy Person,Dairy,Langley,Stores,39.85466222,3.261541973,64.56025847,Stores,1000,12000,0,0,0
2030,Putnam,Cynthia,F,Kitwanga,Meat Cutter,Meats,Terrace,Stores,30.03114475,5.94865459,9.279020339,Stores,900,10800,1,3,1
2031,Koch,Elias,M,Vancouver,Dairy Person,Dairy,Vancouver,Stores,48.80398211,4.307390185,71.04634646,Stores,1000,12000,12,0,0
2032,Robertson,Simon,M,Vancouver,Dairy Person,Dairy,Vancouver,Stores,49.65683766,4.921041582,72.31083265,Stores,1000,12000,10,2,0
2033,Harrington,Christopher,M,Sorrento,Meat Cutter,Meats,Kamloops,Stores,50.07414077,2.8957114219999998,100.0823786,Stores,900,10800,3,0,1
2034,Sanderson,John,M,Pemberton,Meat Cutter,Meats,Squamish,Stores,31.85041294,3.680442645,6.6956262870000005,Stores,900,10800,2,0,0
2035,Dupree,Ryan,M,Vancouver,Dairy Person,Dairy,Vancouver,Stores,47.53765535,4.118329289,69.01600253,Stores,1000,12000,2,0,0
2036,Jackson,Raymond,M,Burnaby,Meat Cutter,Meats,Burnaby,Stores,31.78132811,6.023877808,31.10935926,Stores,900,10800,5,1,0
2037,Corbett,Patrina,F,Mica Creek,Meat Cutter,Meats,Kelowna,Stores,39.36611754,3.669411823,50.75043962,Stores,900,10800,14,0,1
2038,Butler,Erica,F,Port Coquitlam,Dairy Person,Dairy,Port Coquitlam,Stores,51.70957668,5.470366052,114.8058997,Stores,1000,12000,14,0,0
2039,Walker,Ann,F,Fulford Harbour,Meat Cutter,Meats,Victoria,Stores,39.85833888,3.864686706,28.7374711,Stores,900,10800,0,2,1
2040,Koehn,Paul,M,Fort St John,Customer Service Manager,Customer Service,Fort St John,Stores,21.28777978,3.695852416,0.0,Stores,11000,132000,3,2,0
2041,Marvin,Edward,M,Cranbrook,Meat Cutter,Meats,Cranbrook,Stores,53.92367625,5.79883564,116.6147377,Stores,900,10800,5,3,1
2042,Soto,Mckinley,M,Haney,Store Manager,Store Management,Haney,Stores,41.94702317,5.85286072,41.70276874,Stores,11000,132000,10,3,0
2043,Seals,Linda,F,Vancouver,Dairy Person,Dairy,Vancouver,Stores,54.04043307,5.01478716,144.564954,Stores,1000,12000,11,0,0
2044,Kurtz,Bernard,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,48.61888494,6.519873099,25.80173937,Stores,2000,24000,13,1,0
2045,Cross,Cynthia,F,Abbotsford,Meat Cutter,Meats,Abbotsford,Stores,52.2020161,3.159726076,163.6961669,Stores,900,10800,0,3,1
2046,Galvan,John,M,Surrey,Meat Cutter,Meats,Surrey,Stores,55.62212318,5.534570968,61.89997565,Stores,900,10800,10,0,0
2047,Cordova,Carmen,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,49.42002661,5.872508343,101.7920905,Stores,2000,24000,14,0,0
2048,Monroe,Tyrone,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,47.63879668,6.613097766,86.67882756,Stores,2000,24000,1,1,0
2049,Rosales,Julie,F,Duncan,Meat Cutter,Meats,Quesnel,Stores,20.1414963,4.852321541,0.0,Stores,900,10800,3,1,1
2050,Crow,Tamara,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,39.1341984,2.833840913,70.51901208,Stores,2000,24000,10,1,0
2051,Maier,Myrna,F,Vancouver,Dairy Person,Dairy,Vancouver,Stores,64.11340727,6.954374908999999,172.02980319999998,Stores,1000,12000,12,2,0
2052,Trotta,Ashley,F,Duncan,Dairy Person,Dairy,Quesnel,Stores,29.19568422,3.7333992069999997,0.0,Stores,1000,12000,7,0,0
2053,Laury,Jerry,M,Yarrow,Processed Foods Manager,Processed Foods,Chilliwack,Stores,49.6184304,4.050255765,97.51680171,Stores,11000,132000,6,3,0
2054,Greenberg,Richard,M,New Westminister,Dairy Person,Dairy,New Westminister,Stores,41.71417187,3.9368333960000004,31.23919532,Stores,1000,12000,6,3,0
2055,Mulligan,Stephen,M,Midway,Meat Cutter,Meats,Trail,Stores,28.71041089,5.614235901,0.0,Stores,900,10800,10,0,1
2056,Ferris,Robert,M,Sorrento,Meat Cutter,Meats,Kamloops,Stores,59.98745536,6.407662516,148.5287282,Stores,900,10800,5,2,0
2057,Carter,Billie,M,Nanaimo,Meat Cutter,Meats,Nanaimo,Stores,32.18794464,2.7826752210000003,0.35590029,Stores,900,10800,2,3,0
2058,Wood,Tracy,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,25.51193363,4.975469109,0.0,Stores,2000,24000,6,1,0
2059,Spigner,Paul,M,Langley,Dairy Person,Dairy,Langley,Stores,31.73408769,8.760520149,9.761523656,Stores,1000,12000,14,0,0
2060,Yarbrough,Robert,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,50.3624532,1.1078286259999999,90.84845182,Stores,2000,24000,0,2,0
2061,Lafever,Steven,M,New Westminster,Meat Cutter,Meats,New Westminster,Stores,37.70706819,6.373564833,0.0,Stores,900,10800,3,2,0
2062,Gonzalez,Meghan,F,Burnaby,Dairy Person,Dairy,Burnaby,Stores,43.83884206,4.582543922,96.40845761,Stores,1000,12000,2,2,0
2063,Cox,Sharon,F,Victoria,Meat Cutter,Meats,Victoria,Stores,51.90913395,5.530085051,153.0558933,Stores,900,10800,0,2,0
2064,Mitchell,Deborah,F,Burnaby,Dairy Person,Dairy,Burnaby,Stores,35.11025747,4.855227483999999,8.326085638,Stores,1000,12000,1,3,0
2065,Brown,Ruthie,F,Comox,Meat Cutter,Meats,Nanaimo,Stores,22.87292687,2.809461405,0.0,Stores,900,10800,13,3,1
2066,West,Lucia,F,Vancouver,Dairy Person,Dairy,Vancouver,Stores,44.14004736,4.123063395,88.25214015,Stores,1000,12000,1,3,0
2067,Ballou,Corey,M,Rock Creek,Meat Cutter,Meats,Kelowna,Stores,30.34829314,3.073695873,0.0,Stores,900,10800,5,2,1
2068,Clark,Richard,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,38.96436334,1.519962557,28.53555525,Stores,2000,24000,5,3,0
2069,Howard,Barbara,F,Mica Creek,Meat Cutter,Meats,Kelowna,Stores,29.14742611,5.59552897,4.9597971130000005,Stores,900,10800,5,1,1
2070,Logsdon,Lamont,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,38.93616503,4.9989559869999995,38.75628933,Stores,2000,24000,2,0,0
2071,Franklin,Joyce,F,Prince George,Meat Cutter,Meats,Prince George,Stores,42.52365842,4.160159258,70.77046235,Stores,900,10800,8,1,1
2072,Shetler,Tom,M,Vancouver,Dairy Person,Dairy,Vancouver,Stores,53.26445236,3.142249505,89.20247715,Stores,1000,12000,8,3,0
2073,Ross,Gilda,F,Burnaby,Meat Cutter,Meats,Burnaby,Stores,33.52197491,3.536940144,42.284719700000004,Stores,900,10800,5,1,0
2074,Bedard,Norman,M,Mission,Meat Cutter,Meats,Burnaby,Stores,57.874141599999994,1.8288595369999998,127.082039,Stores,900,10800,0,1,0
2075,Bennett,Cathy,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,32.90043926,4.901837757,0.0,Stores,2000,24000,0,3,0
2076,Ng,Betty,F,Langley,Customer Service Manager,Customer Service,Langley,Stores,40.10151781,3.833225917,53.98224916,Stores,11000,132000,9,2,0
2077,Surrett,Gloria,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,50.77595494,5.39627919,89.96448445,Stores,2000,24000,6,3,0
2078,Hernandez,Stephanie,F,Vancouver,Dairy Person,Dairy,Vancouver,Stores,60.9962919,1.5754108230000001,149.1844642,Stores,1000,12000,6,1,0
2079,Brown,Bryant,M,Peachland,Meat Cutter,Meats,Kelowna,Stores,29.85151796,6.5691059979999995,0.0,Stores,900,10800,1,1,1
2080,Wallach,Angelica,F,Castlegar,Meat Cutter,Meats,Trail,Stores,39.28593219,4.160124478999999,52.40959774,Stores,900,10800,12,2,0
2081,Elrod,Karen,F,Victoria,Meat Cutter,Meats,Victoria,Stores,59.26388391,4.565707734,151.2351219,Stores,900,10800,12,0,0
2082,Mosher,Douglas,M,Westbank,Meat Cutter,Meats,Kelowna,Stores,24.60758895,6.378635111,0.0,Stores,900,10800,9,3,0
2083,Coto,Kennith,M,Fernie,Meat Cutter,Meats,Cranbrook,Stores,43.73795281,5.296897492,0.0,Stores,900,10800,12,2,0
2084,Pendergast,Tricia,F,Victoria,Meat Cutter,Meats,Victoria,Stores,55.37070667,6.317085613,157.36947469999998,Stores,900,10800,13,1,1
2085,Stange,Sammy,M,Vernon,Meat Cutter,Meats,Vernon,Stores,31.63680939,0.827182205,0.0,Stores,900,10800,11,2,0
2086,Smothers,Eunice,F,Whistler,Meat Cutter,Meats,Squamish,Stores,47.84803541,3.489245018,49.05935756,Stores,900,10800,2,2,1
2087,Myers,Evelyn,F,Pouce Coupe,Dairy Person,Dairy,Fort St John,Stores,42.19332670000001,5.754728385,50.727894,Stores,1000,12000,7,1,0
2088,Orr,Paul,M,Rosedale,Customer Service Manager,Customer Service,Chilliwack,Stores,40.80530249,5.882102204,16.15869238,Stores,11000,132000,13,1,0
2089,Hernandez,Richard,M,Port Alberni,Meat Cutter,Meats,Nanaimo,Stores,45.04023045,5.225533572,33.88865481,Stores,900,10800,3,1,0
2090,Pendergrass,Kenneth,M,Bougie Creek,Meat Cutter,Meats,Quesnel,Stores,41.16514446,5.022466608999999,89.71496015,Stores,900,10800,0,2,0
2091,Griggs,Shirley,F,New Westminster,Meat Cutter,Meats,New Westminster,Stores,31.16717441,3.810570995,51.81687733,Stores,900,10800,1,1,1
2092,Anderson,Stephen,M,Kelowna,Meat Cutter,Meats,Kelowna,Stores,51.3589442,4.781410215,52.90349327,Stores,900,10800,2,0,1
2093,Lindsey,Alvin,M,Port Coquitlam,Processed Foods Manager,Processed Foods,Port Coquitlam,Stores,41.24185203,3.585396202,56.78661629,Stores,11000,132000,8,3,0
2094,Woodard,Mable,F,New Westminster,Meat Cutter,Meats,New Westminster,Stores,44.04665384,8.171563568,89.53487825,Stores,900,10800,1,0,1
2095,Eisenhower,Betty,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,40.97903195,3.033234985,104.15656059999999,Stores,2000,24000,11,3,0
2096,Thrash,Lori,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,43.89187816,3.855810162,99.44983664,Stores,2000,24000,12,1,0
2097,Hughes,Jon,M,Vancouver,Dairy Person,Dairy,Vancouver,Stores,23.46421623,0.40827055799999995,0.0,Stores,1000,12000,2,0,0
2098,Aoki,David,M,Williams Lake,Meat Cutter,Meats,Williams Lake,Stores,32.67482955,4.214590615,0.0,Stores,900,10800,13,2,0
2099,Griffith,Loren,M,Bridge Lake,Meat Cutter,Meats,Kamloops,Stores,41.29601144,3.421472951,60.61175024,Stores,900,10800,1,2,1
2100,Cabe,Catherine,F,Sparwood,Meat Cutter,Meats,Cranbrook,Stores,46.03944414,4.758640671,16.11116483,Stores,900,10800,0,2,1
2101,Gonzales,Michael,M,Willow Point,Meat Cutter,Meats,Trail,Stores,39.29409796,4.2494546280000005,37.67060184,Stores,900,10800,3,2,1
2102,Kolb,Teri,F,Vernon,Meat Cutter,Meats,Vernon,Stores,33.31492887,3.613045806,53.04166712,Stores,900,10800,14,3,1
2103,Brown,Eric,M,White Rock,Produce Clerk,Produce,White Rock,Stores,29.11713391,3.6774049030000002,0.447337351,Stores,2000,24000,0,1,0
2104,Nieto,Lindsey,F,Aldergrove,Meat Cutter,Meats,Aldergrove,Stores,31.89793191,5.649849276,5.8566190129999995,Stores,900,10800,6,3,0
2105,Kang,Janet,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,36.89635401,3.5431948510000004,42.31978956,Stores,2000,24000,7,0,0
2106,Atkinson,Concepcion,F,Willow Point,Dairy Person,Dairy,Trail,Stores,30.13623027,5.417846381,53.63489216,Stores,1000,12000,10,0,0
2107,Bridges,Jessica,F,Burnaby,Meat Cutter,Meats,Burnaby,Stores,39.80043569,7.388561597000001,75.83715559,Stores,900,10800,9,0,0
2108,Cummings,Sandra,F,Vancouver,Produce Clerk,Produce,Vancouver,Stores,35.20450934,4.026636121,38.28700158,Stores,2000,24000,10,1,0
2109,Gainer,Royce,M,Lake Cowichan,Dairy Person,Dairy,Victoria,Stores,34.30116431,4.13554929,0.0,Stores,1000,12000,8,0,0
2110,Johnson,William,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,44.81383955,6.258446717000001,49.91629329,Stores,2000,24000,4,0,0
2111,Harris,Michel,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,36.62644798,3.258408652,16.33056117,Stores,2000,24000,6,3,0
2112,Price,Krystina,F,Sechelt,Dairy Person,Dairy,West Vancouver,Stores,49.4672675,6.038347039,71.25530238,Stores,1000,12000,4,0,0
2113,Cross,Gail,F,Nanaimo,Meat Cutter,Meats,Nanaimo,Stores,42.7906449,6.70659208,90.69610103,Stores,900,10800,0,1,1
2114,Conner,Donna,F,North Vancouver,Bakery Manager,Bakery,North Vancouver,Stores,42.25585299,1.518009631,28.01525537,Stores,11000,132000,14,1,0
2115,Bishop,Robert,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,50.35070379999999,9.09429464,69.81402514,Stores,2000,24000,12,2,0
2116,Rehkop,Suzanne,F,Whistler,Meat Cutter,Meats,Squamish,Stores,39.23730859,4.409702696,47.34879936,Stores,900,10800,0,3,1
2117,Fleming,Ignacio,M,Beaver Valley,Bakery Manager,Bakery,Williams Lake,Stores,44.56321667,3.4916464260000004,70.76963289,Stores,11000,132000,5,1,0
2118,Hernandez,Emma,F,Vavenby,Meat Cutter,Meats,Kamloops,Stores,61.489830500000004,5.7028152389999995,169.41833630000002,Stores,900,10800,0,3,0
2119,Braxton,Edna,F,Revelstoke,Meat Cutter,Meats,Kelowna,Stores,45.38345185,4.0618814830000005,113.397477,Stores,900,10800,9,1,1
2120,Allen,Don,M,Nelson,Meats Manager,Meats,Nelson,Stores,52.13929095,4.26908287,97.99889575,Stores,11000,132000,10,2,0
2121,Martin,Adam,M,Victoria,Dairy Person,Dairy,Victoria,Stores,38.46970308,5.097477757,17.00467133,Stores,1000,12000,12,1,0
2122,Spencer,Nicholas,M,Vancouver,Produce Clerk,Produce,Vancouver,Stores,52.14413223,3.539003073,74.29278994,Stores,2000,24000,6,0,0
2123,Cox,Mary,F,New Westminster,Meat Cutter,Meats,New Westminster,Stores,35.22751774,5.365660667,46.19327724,Stores,900,10800,9,0,1
2124,Williams,Linda,F,Langley,Dairy Person,Dairy,Langley,Stores,33.7602661,3.333939659,52.05988808,Stores,1000,12000,0,1,0
2125,Herrera,James,M,Burnaby,Meat Cutter,Meats,Burnaby,Stores,38.16621007,3.888692114,26.31039005,Stores,900,10800,2,2,1
2126,Fulgham,Rafael,M,Tatla Lake,Dairy Person,Dairy,Williams Lake,Stores,57.851708499999994,2.4602030619999997,161.678357,Stores,1000,12000,8,2,0
2127,Middleton,Michelle,F,Fulford Harbour,Meat Cutter,Meats,Victoria,Stores,48.205938700000004,3.151031658,83.72548595,Stores,900,10800,11,3,1
2128,Jenkins,John,M,Vancouver,Dairy Person,Dairy,Vancouver,Stores,45.83426844,7.83185445,71.10111941,Stores,1000,12000,5,0,0
2129,Luna,James,M,Prince George,Dairy Person,Dairy,Prince George,Stores,48.9817075,3.038825291,79.01489997,Stores,1000,12000,9,1,0
2130,Martinez,Steven,M,Burnaby,Meat Cutter,Meats,Burnaby,Stores,59.97885449,4.015115698,142.0576888,Stores,900,10800,5,3,0
2131,Grissom,Betty,F,New Westminster,Meat Cutter,Meats,New Westminster,Stores,44.33092635,3.726068095,144.2486817,Stores,900,10800,0,3,0
2132,Cox,Davida,F,Courtenay,Meat Cutter,Meats,Nanaimo,Stores,39.69140553,4.298432802,98.53196476,Stores,900,10800,12,2,1
